Category: Health

Region,kidney dysplasia: (2012)
Kentucky,100
North Carolina,49
New Jersey,46
Colorado,44
New York,44
Virginia,44
South Carolina,42
Maryland,38
Indiana,36
Missouri,35
Michigan,35
Massachusetts,34
Pennsylvania,33
District of Columbia,32
Tennessee,32
Ohio,29
California,27
Connecticut,27
Minnesota,24
Louisiana,21
Florida,21
Wisconsin,20
Oregon,19
Georgia,18
Texas,18
Washington,18
Arizona,17
Illinois,13
