Category: Health

Region,kidney dysplasia: (2011)
Alabama,100
Indiana,43
Louisiana,34
New Jersey,31
Tennessee,31
Colorado,31
Connecticut,25
Washington,22
Georgia,20
Ohio,19
New York,18
Michigan,16
Pennsylvania,16
Arizona,15
Texas,15
Minnesota,14
California,12
Florida,12
Illinois,12
Virginia,11
North Carolina,10
Massachusetts,10
