Category: Health

Region,kidney dysplasia: (2013)
Alabama,100
Kentucky,43
District of Columbia,37
Indiana,36
Massachusetts,34
Maryland,34
South Carolina,31
Virginia,30
Michigan,29
Washington,28
Missouri,27
Oklahoma,23
Wisconsin,20
Louisiana,20
Pennsylvania,20
Connecticut,19
New Jersey,19
Illinois,18
Texas,18
North Carolina,17
Colorado,17
Oregon,16
Tennessee,13
California,13
New York,13
Ohio,13
Georgia,13
Arizona,12
Florida,11
Minnesota,11
